epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,592.094,1.39432,0.92576,0.92482,0.68981,0.67902,0.61979,0.25735,2.1546,1.52003,1.18468,0.000848969,0.000848969,0.000848969
43,604.875,1.34019,0.86389,0.93861,0.68411,0.68289,0.62347,0.236,2.21553,1.55665,1.20373,0.000834822,0.000834822,0.000834822
44,617.715,1.4044,0.95141,0.95219,0.72737,0.67767,0.62897,0.28207,1.97234,1.53243,1.13137,0.000820675,0.000820675,0.000820675
45,630.974,1.4034,0.88428,0.92689,0.69601,0.69403,0.62448,0.26977,2.00054,1.54614,1.13997,0.000806528,0.000806528,0.000806528
46,644.309,1.43817,0.87015,0.93459,0.69601,0.69403,0.62448,0.26977,2.00054,1.54614,1.13997,0.00079238,0.00079238,0.00079238
47,657.613,1.42892,0.89905,0.9485,0.70864,0.71958,0.63678,0.22214,2.29296,1.56993,1.23174,0.000778233,0.000778233,0.000778233
48,670.823,1.41763,0.88258,0.94193,0.70118,0.70865,0.64613,0.23154,2.24219,1.57604,1.21406,0.000764086,0.000764086,0.000764086
49,684.117,1.33563,0.85503,0.91274,0.71808,0.73498,0.65796,0.26724,2.04638,1.60763,1.14746,0.000749939,0.000749939,0.000749939
50,696.794,1.39319,0.87103,0.94872,0.71841,0.73765,0.65858,0.27817,2.00205,1.53509,1.13844,0.000735792,0.000735792,0.000735792
51,709.595,1.33262,0.83932,0.9102,0.71194,0.72608,0.66875,0.27829,2.01837,1.5363,1.14436,0.000721645,0.000721645,0.000721645
52,723.435,1.36421,0.85152,0.94807,0.68537,0.70742,0.65625,0.28103,2.01057,1.55655,1.14852,0.000707498,0.000707498,0.000707498
53,740.751,1.35975,0.88237,0.90378,0.66942,0.71853,0.65419,0.24522,2.14124,1.59222,1.19363,0.000693351,0.000693351,0.000693351
54,754.492,1.40146,0.87908,0.91742,0.66942,0.71853,0.65419,0.24522,2.14124,1.59222,1.19363,0.000679204,0.000679204,0.000679204
55,768.58,1.33833,0.8337,0.95473,0.67205,0.72042,0.65611,0.25416,2.12818,1.59981,1.19062,0.000665057,0.000665057,0.000665057
56,782.895,1.38068,0.88166,0.93265,0.69046,0.73173,0.66944,0.27879,1.98826,1.59715,1.14338,0.000650909,0.000650909,0.000650909
57,796.782,1.32856,0.82561,0.90181,0.68931,0.7354,0.66399,0.27608,2.02131,1.59906,1.15463,0.000636762,0.000636762,0.000636762
58,810.429,1.29666,0.81815,0.89528,0.67059,0.72439,0.65276,0.24831,2.23017,1.61543,1.22424,0.000622615,0.000622615,0.000622615
59,823.996,1.46415,0.86912,0.96154,0.66751,0.72439,0.65982,0.24755,2.25434,1.62538,1.22644,0.000608468,0.000608468,0.000608468
60,837.656,1.37888,0.85973,0.97006,0.68445,0.73954,0.67386,0.2767,2.08583,1.59495,1.16968,0.000594321,0.000594321,0.000594321
61,851.633,1.30804,0.84321,0.9298,0.68809,0.74696,0.6752,0.28679,2.00224,1.56902,1.13423,0.000580174,0.000580174,0.000580174
62,865.38,1.38986,0.81175,0.9503,0.68809,0.74696,0.6752,0.28679,2.00224,1.56902,1.13423,0.000566027,0.000566027,0.000566027
63,878.848,1.33787,0.77666,0.92496,0.67377,0.73014,0.66123,0.26679,2.11042,1.56641,1.16926,0.00055188,0.00055188,0.00055188
64,892.543,1.32374,0.80889,0.92087,0.65496,0.71011,0.64638,0.23722,2.28765,1.57659,1.23696,0.000537733,0.000537733,0.000537733
65,906.128,1.35808,0.8294,0.90926,0.6462,0.68957,0.61915,0.23777,2.27858,1.59278,1.24111,0.000523586,0.000523586,0.000523586
66,919.843,1.34149,0.82289,0.92101,0.67006,0.71732,0.63313,0.25353,2.16471,1.56897,1.20484,0.000509438,0.000509438,0.000509438
67,934.359,1.26916,0.78338,0.89191,0.68928,0.73954,0.66312,0.27428,2.10765,1.54944,1.18367,0.000495291,0.000495291,0.000495291
68,948.935,1.34237,0.80331,0.91345,0.68847,0.73604,0.66625,0.26424,2.1318,1.56209,1.18963,0.000481144,0.000481144,0.000481144
69,967.785,1.30175,0.7762,0.91833,0.66184,0.69564,0.63956,0.25682,2.22463,1.63172,1.21325,0.000466997,0.000466997,0.000466997
70,984.315,1.27594,0.75978,0.92348,0.66184,0.69564,0.63956,0.25682,2.22463,1.63172,1.21325,0.00045285,0.00045285,0.00045285
71,1000.42,1.28965,0.79617,0.90947,0.65812,0.69523,0.64007,0.23454,2.29547,1.70576,1.22839,0.000438703,0.000438703,0.000438703
72,1015.07,1.29289,0.77532,0.92722,0.65481,0.69511,0.64109,0.21523,2.39984,1.78011,1.25629,0.000424556,0.000424556,0.000424556
73,1029.33,1.2619,0.76746,0.88288,0.65326,0.69601,0.63523,0.22369,2.38053,1.74432,1.24693,0.000410409,0.000410409,0.000410409
74,1043.44,1.30691,0.80062,0.90608,0.68073,0.72672,0.66485,0.23121,2.29632,1.65775,1.22072,0.000396262,0.000396262,0.000396262
75,1057.57,1.20566,0.73048,0.88518,0.71853,0.68826,0.6598,0.23622,2.2838,1.62375,1.21873,0.000382115,0.000382115,0.000382115
76,1071.45,1.27406,0.81474,0.91004,0.68189,0.72672,0.64626,0.22804,2.31569,1.59251,1.23009,0.000367967,0.000367967,0.000367967
77,1085.62,1.27503,0.76646,0.89201,0.70601,0.67311,0.6146,0.23309,2.26461,1.57699,1.20922,0.00035382,0.00035382,0.00035382
78,1099.46,1.29359,0.77502,0.8902,0.70601,0.67311,0.6146,0.23309,2.26461,1.57699,1.20922,0.000339673,0.000339673,0.000339673
79,1114.34,1.32626,0.78644,0.8987,0.70262,0.70139,0.6341,0.24608,2.15736,1.57066,1.17026,0.000325526,0.000325526,0.000325526
80,1130.47,1.24297,0.76077,0.88939,0.69987,0.70374,0.63389,0.25921,2.11779,1.57602,1.15659,0.000311379,0.000311379,0.000311379
81,1144.35,1.27803,0.777,0.89546,0.70042,0.70302,0.64317,0.25796,2.15564,1.57143,1.16993,0.000297232,0.000297232,0.000297232
82,1159.55,1.22461,0.72738,0.89216,0.72126,0.68826,0.66768,0.27227,2.14509,1.5854,1.16971,0.000283085,0.000283085,0.000283085
83,1173.72,1.25006,0.75111,0.91716,0.72285,0.68683,0.68207,0.28306,2.0999,1.60695,1.15557,0.000268938,0.000268938,0.000268938
84,1187.75,1.22754,0.73657,0.89569,0.69811,0.72672,0.68687,0.29107,2.06744,1.61197,1.14922,0.000254791,0.000254791,0.000254791
85,1202.3,1.2358,0.73458,0.90791,0.69335,0.73615,0.68544,0.27288,2.09948,1.6214,1.16329,0.000240644,0.000240644,0.000240644
86,1216.44,1.24943,0.77649,0.92328,0.69335,0.73615,0.68544,0.27288,2.09948,1.6214,1.16329,0.000226497,0.000226497,0.000226497
87,1231.34,1.24089,0.73963,0.9029,0.69149,0.73954,0.67332,0.25261,2.14706,1.63195,1.18049,0.000212349,0.000212349,0.000212349
88,1246.43,1.19006,0.71968,0.88676,0.6925,0.73954,0.67168,0.25356,2.15565,1.63008,1.18411,0.000198202,0.000198202,0.000198202
89,1261.42,1.22405,0.71516,0.89667,0.69187,0.73954,0.66404,0.25455,2.13344,1.61989,1.17543,0.000184055,0.000184055,0.000184055
90,1275.36,1.19672,0.72311,0.89268,0.68946,0.73954,0.66192,0.25277,2.12091,1.62506,1.16976,0.000169908,0.000169908,0.000169908
91,1299.08,1.22274,0.83845,0.89935,0.68617,0.73954,0.66034,0.25681,2.11149,1.62739,1.165,0.000155761,0.000155761,0.000155761
92,1324.55,1.25793,0.82983,0.9108,0.68893,0.73771,0.65214,0.25818,2.11887,1.61848,1.16694,0.000141614,0.000141614,0.000141614
93,1339.31,1.21937,0.82911,0.88519,0.67794,0.73954,0.64313,0.25189,2.15699,1.61546,1.18418,0.000127467,0.000127467,0.000127467
94,1354.18,1.17359,0.80502,0.8972,0.67794,0.73954,0.64313,0.25189,2.15699,1.61546,1.18418,0.00011332,0.00011332,0.00011332
95,1369.54,1.23636,0.78408,0.92889,0.70207,0.70108,0.6263,0.24235,2.18745,1.61373,1.19711,9.91726e-05,9.91726e-05,9.91726e-05
96,1384.88,1.18793,0.79325,0.90315,0.72479,0.69881,0.62341,0.24079,2.1976,1.60736,1.20255,8.50255e-05,8.50255e-05,8.50255e-05
97,1399.45,1.12846,0.73069,0.9084,0.72194,0.69824,0.61746,0.23831,2.20109,1.60883,1.20675,7.08784e-05,7.08784e-05,7.08784e-05
98,1413.53,1.16645,0.74861,0.9271,0.71503,0.69963,0.61605,0.22996,2.21144,1.61864,1.21136,5.67313e-05,5.67313e-05,5.67313e-05
99,1428.41,1.1896,0.8254,0.90046,0.70855,0.70108,0.61197,0.22863,2.20829,1.62092,1.21165,4.25842e-05,4.25842e-05,4.25842e-05
100,1443.64,1.1731,0.78169,0.92815,0.70378,0.70108,0.61179,0.22722,2.20612,1.61961,1.21208,2.84371e-05,2.84371e-05,2.84371e-05
